,iEcHS_1320,iECSE_1348,iECBD_1354,iEKO11_1354,iEcSMS35_1347,iZ_1308,iECs_1301,iECSP_1301,iUTI89_1310,iECH74115_1262,iECDH10B_1368,iWFL_1372,iECO103_1326,iECP_1309,iECD_1391,iECO111_1330,iG2583_1286,iECED1_1282,iBWG_1329,iECW_1372,iJO1366,iLF82_1304,iEC042_1314,iECS88_1305,iECUMN_1333,iEcE24377_1341,iECB_1328,iETEC_1333,iECOK1_1307,ic_1306,iAPECO1_1312,iECDH1ME8569_1439,iECNA114_1301,iB21_1397,iE2348C_1286,iUMN146_1321,iY75_1357,iEcolC_1368,iUMNK88_1353,iECABU_c1320,iNRG857_1313,iEcDH1_1363,iECIAI39_1322,iECO26_1355,iECSF_1327,iEC55989_1330
fald_e,0.07796447258653895,0.07796447258653862,0.07796447258653899,0.07796447258654057,0.07796447258653878,0.07796447258654064,0.07796447258653913,0.07796447258654195,0.07796447258653887,0.03684127399390366,0.08318162315685465,0.0779644725865458,0.07796447258653931,0.07796447258653874,0.07796447258653899,0.07796447258653717,0.03684127399390366,0.07796318526488946,0.07796447258653864,0.07796447258653919,0.07795827059453583,0.07796447258653831,0.07796447258653895,0.07796447258654017,0.1528908620269461,0.07796447258653863,0.07796447258654673,0.07796447258653884,0.07796447258653891,0.12579410545551584,0.0779644725865389,0.0779644725865388,0.07796447258653916,0.07796447258653871,0.07796447258653913,0.07796447258653925,0.07796447258653932,0.07796447258653849,0.0779644725865392,0.07796447258653909,0.07796447258653923,0.07796447258653898,0.07799552842703107,0.07796447258653912,0.07796447258653913,0.07796447258654306
fe3dcit_e,,,1.337949171103151,,,,,,,,1.4122444670081291,,,,1.337949171103143,,,1.3379313387011877,1.3379491711031504,,1.3377983833161977,,1.3379491711031475,1.3379491711032856,1.338228220444367,1.3379491711031495,1.3379491879380776,1.3379491711031497,,0.02568509909105295,,1.3379491711031504,1.3379491711031581,1.3379491711031488,,,1.3379491711031581,1.3379491711031488,1.3379491292754742,1.3379491838108335,,1.337949171103146,1.3384520476935717,1.3379491711031486,,1.3379491711031455
frulys_e,1.0046400950468806,1.0046400950468803,0.9990068131695269,1.0046400950467862,,1.0046401257541036,1.0046400950468863,1.0046400950468848,,1.0046400950468675,1.063535681229906,1.0046400950468812,1.004640095046883,,0.9990068131695238,1.0046400950468806,1.0046400950468832,,1.004640095046887,1.0046400950468843,1.004526200740933,,1.0046400950468826,,,1.0046400950468812,1.004640095046878,1.004640095046887,,0.02568509909105295,,1.0046400950468855,,0.9990068131695248,,,1.004640095046884,1.0046400950468821,1.004640095046881,,,1.0046400950468835,,1.00464009504688,,1.0046400950468821
fruur_e,0.7916286743427942,0.7916286743427623,0.7913072971252925,0.7916286743427994,0.7916286743427633,0.7916286743424507,0.7916286743427977,0.7916286743428346,,0.791628674342821,,0.7916286743428067,0.7916286743427968,,0.7913072971252978,0.7916286743427949,0.7916286743428029,,0.791628674342804,0.7916286743428029,0.7915450532891555,,0.7916286743427875,0.791628674342796,0.7918007342022302,0.7916286743427999,0.7916286743428022,0.7916286743428016,,0.8391362691958367,,0.7916286743428007,0.7916286743427954,0.7913072971252951,,,0.7916286743427968,,0.7916286743427969,0.7916286722320367,,0.7916286743428516,0.7919234444739395,,0.7916286743428036,0.7916286743427949
fuc__L_e,0.9634143197835398,0.963414319783538,0.9621508842646866,0.9634143197835422,0.9634143197835487,0.9634143197835452,0.9634143197835215,0.9634143197835396,0.9634143197835354,0.9634143197835406,1.0178522183118648,0.9634143197835405,0.9634143197835388,0.9634143197835375,0.9621508842618166,0.9634143197835425,0.9634143197834397,0.9633999915257558,0.9634143197835396,0.9634143197835038,0.9633124409447187,0.9634143197835415,0.9634143197835474,0.9634143197854798,0.9636237171156598,0.9634143197835386,0.9634143197835358,0.9634143197835416,0.9634143197835375,0.025685099091053293,0.9634143197835378,0.9634143197853144,0.9634143197835408,0.9621508842618148,0.9634143197835444,0.9634143197835423,0.9634143197835707,0.9634143197835403,0.9634143197835339,0.963414319783545,0.963414319783537,0.9634143197835437,0.3997019828076535,0.9634143197830235,0.9634143197835322,0.9634143197830508
g1p_e,0.9824784386660022,0.9824784386660017,0.9756145115851308,0.9824784386660027,0.9824784386660044,0.9824784386660076,0.9824784386660103,0.9824784386658981,0.9824784386660099,0.9824784386660472,1.0374775435499939,0.9824784386660042,0.9824784386660022,0.9824784365264355,0.9756145115851247,0.9824784386660087,0.9824784386660069,,0.9824784386659988,0.9824784386660061,0.9823718172995497,0.9824784386660047,0.9824784386660007,0.9824784386660016,0.9826920127829204,0.982478438666049,0.9824784386660108,0.9824784386644153,0.9824784386660114,1.0319222801126782,0.9824784386659361,0.9824784386660096,0.9824784386660049,0.9756145115851295,0.9824784386660067,0.982478438666008,0.9824784386660077,0.9824784386660035,0.9824784386659983,0.9824784386660042,0.9824784386660091,0.9824784386660053,0.9828409640718754,0.982478438665983,0.9824784386660079,0.9824784386660039
gal_e,0.9721081785998649,0.9721081785998716,,0.9721081785998675,0.9721081785998698,0.9721081785998701,0.9721081785998604,0.9721081785998662,0.9721081785998739,0.9721081785998648,1.0265267567276255,0.9721081785998659,0.9721081785998638,0.9721081785998626,,0.9721081786009214,0.9721081785998688,0.972093341589002,0.9721081785998672,0.9721081785998646,0.972002678119347,0.9721081785998584,0.972108178599867,0.9721081785998643,0.9723194983993128,0.9721081786013943,0.9721081785998664,0.9721081785998675,0.9721081785998712,1.0214501644224843,0.9721081785998649,0.9721081785998643,0.972108178599867,,0.9721081785998629,0.9721081785998726,0.9721081785998686,0.9721081785998964,0.9721081785998702,0.9721081759172411,0.9721081785998668,0.9721081785998616,0.9724668774763301,0.9721081785998648,0.9721081785998685,0.9721081785997676
gal_bD_e,0.9721081785850252,0.9721081785998658,,0.9721081785998578,0.9721081785998738,0.9721081785998705,0.9721081785998339,0.97210817859987,0.9721081785998649,0.9721081785999393,1.0265267567276202,0.9721081785998734,0.9721081785998636,0.9721081785998689,,0.9721081785998644,0.9721081785998662,0.9720933415888858,0.9721081785998645,0.9721081785998715,0.9720026781190068,0.9721081785998716,0.9721081785998679,0.9721081785998666,0.9723194983992995,0.9721081785998664,0.972108178599865,0.9721081785998665,0.9721081785998712,1.0214501644224794,0.9721081785998671,0.9721081785998644,0.9721081785993055,,0.9721081785998269,0.972108178599866,0.972108178599868,0.9721081785998548,0.9721081785998679,0.9721081785998666,0.9721081785999385,0.972108178599864,0.9724668774762676,0.9721081785998641,0.9721081785998683,0.9721081785998635
gal1p_e,0.9721081785998741,0.9721081785992123,,0.9721081785998651,0.972108178599867,0.9721081785998689,0.9721081785998683,0.9721081785998642,0.9721081785998672,0.9721081785998664,1.0265267567276313,0.9721081785998676,0.9721081785998693,0.9721081778479855,,0.9721081785998543,0.9721081785998664,,0.9721081786001975,0.9721081786004028,0.972002678119346,0.9721081785998638,0.9721081785998621,0.9721081785998646,0.9723194983993133,0.9721081785998621,0.9721081785998646,0.9721081785998716,0.9721081785998655,1.0214501644224798,0.9721081785998645,0.9721081785998629,0.9721081785998676,,0.9721081785998593,0.9721081785998507,0.9721081785998675,0.9721081785998612,0.9721081785998696,0.9721081796913612,0.972108178599866,0.972108178599865,0.9724668774762676,0.9721081785998692,0.9721081785998684,0.9721081785998723
galct__D_e,0.6883617697380862,0.6883617697380846,0.6883617697380879,0.688361769738086,0.6883617697380792,0.6883617697380924,0.6883617697380908,0.6883617697380877,0.6883617697380885,0.6883617697380866,0.7260828836463019,0.6883617697380864,0.6883617697380875,0.6883617697894807,0.6883617697380918,0.6883617697380922,0.6883617697380863,0.6883509975781839,0.6883617697381044,0.6883617697380949,0.6882851682008982,0.6883617697380785,,0.6883617697357736,0.6885101916928511,0.688361769738088,0.6883617697380869,0.6883617697380887,0.6883617697380877,0.7350329356140304,0.6883617697380862,0.6883617697380864,0.6883617697352312,0.6883617697380852,0.6883617697380887,0.6883617697380885,0.6883617697380977,0.6883617697380858,0.6883617697380826,0.6883617695162183,0.6883617697380902,0.68836176973808,0.6886174626564011,0.6883617697380882,0.6883617697380825,0.6883617697380902
